,username,date,content,preprocess_content,sentiment,sentiment_score
784,Duchesstee8,2021-01-08 09:42:06+00:00,@abbati143 @USATODAY @EndSars Did you notice @TwitterSafety suspended the account that implies @endsars,abbati143 usatoday endsars notice twittersafety suspended account implies endsars,negative,0.9991376399993896
785,I_Am_marwa,2021-01-08 07:48:27+00:00,@StephenEsabu @EndSars 🤔,stephenesabu endsars 🤔,negative,0.6460325717926025
786,StephenEsabu,2021-01-07 23:04:53+00:00,@I_Am_marwa Like what happened during the @EndSARS protest?,iammarwa like happened endsars protest,negative,0.9481380581855774
787,mustaphaubandom,2021-01-07 15:27:41+00:00,@CNN To do what with them? are they not peaceful protesters like @endsars in Nigeria as your reports last year. Africa need to wake up about selective journalism of the Western media,cnn peaceful protesters like endsars nigeria reports year africa need wake selective journalism western media,negative,0.9941100478172302
788,Henrydo70236896,2021-01-07 15:06:25+00:00,Nigeria 🇳🇬 have the worst system of Government despite all the killings in @endsars  #EndSARS movement @jack and  @_finkd never suspend @MBuhari account @NGRPresident @MobilePunch @SaharaReporters @vanguardngrnews @daily_trust  @channelstv #EndSARS,nigeria  worst system government despite killings endsars endsars movement jack finkd suspend mbuhari account ngrpresident mobilepunch saharareporters vanguardngrnews dailytrust channelstv endsars,negative,0.9993571639060974
789,Fedinite,2021-01-07 15:04:34+00:00,@mustaphaubandom @cnni @EndSars To tell the diffeence between peaceful #endsars and them,mustaphaubandom cnni endsars tell diffeence peaceful endsars,positive,0.8902813792228699
790,mustaphaubandom,2021-01-07 14:50:42+00:00,@cnni And you could not show the pictures of hoodlums that burn Nigerian Police station during @endsars protest in Lagos shame.,cnni pictures hoodlums burn nigerian police station endsars protest lagos shame,negative,0.999365508556366
791,gucgodstime,2021-01-07 13:50:42+00:00,"@Endsars
⁦@gucgodstime⁩ https://t.co/KAd3vp0gHx",endsars ⁦gucgodstime⁩,positive,0.7344141602516174
792,gucgodstime,2021-01-07 13:48:50+00:00,"@Endsars💪🏾
@gucgodstime https://t.co/qBcmrIMmvT",endsars gucgodstime,positive,0.7344141602516174
793,abbati143,2021-01-07 11:24:15+00:00,@USATODAY This are peaceful protesters just like Nigerian @Endsars we move,usatoday peaceful protesters like nigerian endsars,positive,0.8638530373573303
794,TayoAmele1,2021-01-07 10:01:23+00:00,@channelstv I have stopped watching Channels TV since the @endsars,channelstv stopped watching channels tv endsars,negative,0.9958284497261047
795,EdumOfong,2021-01-07 08:23:46+00:00,@realFFK Trump is for Law and Order &amp; I wonder if the left are able to sponsor hoodlums like Aso Rock @EndSARS. I have a very bad feeling that America will lose it's prime position as Policeman &amp; Conscience of the World if indeed d Election was stolen and sustained to usher in Biden.,realffk trump law order amp wonder left able sponsor hoodlums like aso rock endsars bad feeling america lose prime position policeman amp conscience world d election stolen sustained usher biden,negative,0.9770100116729736
796,ALIABARE,2021-01-07 08:04:05+00:00,@ShehuSani And you supported similar destructions in Nigeria? @endsars,shehusani supported similar destructions nigeria endsars,negative,0.8116449117660522
797,Abdulwahabwahe2,2021-01-07 06:06:10+00:00,"Retweet aggressively @AmnestyNigeria @obyezeks @segalink @jack @OfficialPDPNig @endsars .
All of you is nothing except rabid dog of the west, Eyin omo Eru jatijati wonyi.
Above All Nigeria first 🇳🇬 https://t.co/fw2spmLO6z",retweet aggressively amnestynigeria obyezeks segalink jack officialpdpnig endsars rabid dog west eyin omo eru jatijati wonyi nigeria ,negative,0.9995535016059875
798,alaokayode,2021-01-06 23:37:56+00:00,"@business You can do this, but kept urging on  unfortunate @Endsars protests, fake videos, emotional blackmail etc instead, your @jack was raising funds for the coup to continue! You people stinks! Now realise that your platform is being used to destroy nations! Govt! Lives etc worldwide.",business kept urging unfortunate endsars protests fake videos emotional blackmail etc instead jack raising funds coup continue people stinks realise platform destroy nations govt lives etc worldwide,negative,0.9978951215744019
799,SrEmmanuelMorah,2021-01-06 22:27:48+00:00,Capitol Hill under siege  Coordinated riot police better than @Nigeria during @EndSars campaign. @realDonaldTrump @JoeBiden @HillaryClinton @cnnbrk https://t.co/OlI3eEKdvP,capitol hill siege coordinated riot police better nigeria endsars campaign realdonaldtrump joebiden hillaryclinton cnnbrk,positive,0.748469352722168
800,martindbold,2021-01-06 21:48:52+00:00,"@SkyNews I stand corrected. It's like breaking into the National Assembly without police or army finishing you.
See wetin happen for small @endsars",skynews stand corrected like breaking national assembly police army finishing wetin happen small endsars,positive,0.6556413173675537
801,Nonso38900485,2021-01-06 10:50:38+00:00,"...space station will be unveiled"". News like "" Nigerian ER hits $970bn""(but Lai Mohammed no go near the area ooo)!
Nor be Boko haram, Bandits, FHm, killing, mourning, condemning. Now, it's NIN. We are been punished for being a good people. Small @ENDSARS everywhere dey shake....",space station unveiled news like nigerian er hits 970bnbut lai mohammed near area ooo boko haram bandits fhm killing mourning condemning nin punished good people small endsars dey shake,negative,0.961519181728363
802,Ibrahimolajide9,2021-01-06 05:49:39+00:00,"@thecableng @NERCNG Eni Kure, increase again,Shay we have government sha?after deducting 50% of what I recharge,epe Loma payin.E try re wo,I think u can see what happened @endsars abi?, prepaid na free abi?why are we paying #58,350 for prepaid?",thecableng nercng eni kure increase againshay government shaafter deducting 50 rechargeepe loma payine try woi think u happened endsars abi prepaid na free abiwhy paying 58350 prepaid,negative,0.9342604875564575
803,f2906,2021-01-05 18:15:47+00:00,"@muhdsaidumuhd @Abdoul_sardauna @EndSars If you're still doubting this, for confirmation which tribe will leave all the luxury goods around and go for cow and goat looting. Your guess is good as mine dingbat 😂🤣😂",muhdsaidumuhd abdoulsardauna endsars youre doubting confirmation tribe leave luxury goods cow goat looting guess good dingbat 🤣,negative,0.9981095790863037
804,f2906,2021-01-05 18:06:51+00:00,"@muhdsaidumuhd @Abdoul_sardauna @EndSars Bushmen from bush tribe is not an insult dimwit, it's what it is and endsars protest was classy cos all kinds of dishes were served which you haven't tasted in your life until your murderous tribesmen were imported as usual to do their thing. Pity yourself 😂",muhdsaidumuhd abdoulsardauna endsars bushmen bush tribe insult dimwit endsars protest classy cos kinds dishes served havent tasted life murderous tribesmen imported usual thing pity ,negative,0.9986515641212463
805,CEOAfricanewss,2021-01-05 18:01:48+00:00,"Woman begins search for a life partner for her mum, twitter users react
A Twitter user has begun a search for a partner for her mum who is in her late 60s...

READ MORE: https://t.co/3E3JVk0FIR

#Electricity #Burna #ASUU #5thJanuary @Wizkid #Davido @ENDSARS #Elites #Dagrin #WOMAN https://t.co/vUR34cRKOQ",woman begins search life partner mum twitter users react twitter user begun search partner mum late 60s read electricity burna asuu 5thjanuary wizkid davido endsars elites dagrin woman,positive,0.671584963798523
806,muhdsaidumuhd,2021-01-05 17:55:29+00:00,"@f2906 @Abdoul_sardauna Those tribe you are insulting are the ones rearing that animals you are looting during @endsars protest,   meat witch also cow thieves😂😂😂 I pity your tribe.",f2906 abdoulsardauna tribe insulting ones rearing animals looting endsars protest meat witch cow thieves pity tribe,negative,0.9992570281028748
807,Zzzzz85610121,2021-01-05 15:34:42+00:00,"Sterling bank I need money ooo.
Reverse my hard earned money.
@Sterling_Bankng @cenbank @endsars",sterling bank need money ooo reverse hard earned money sterlingbankng cenbank endsars,negative,0.996505856513977
808,ibrahimmarsnig,2021-01-04 16:02:29+00:00,"@jackonory33 @KawuGarba Violence, does anyone frome the South knows what is violent? We just witnessed what happened in the @EndSars protest OK..",jackonory33 kawugarba violence frome south knows violent witnessed happened endsars protest ok,negative,0.9915715456008911
809,SamuelOladipo8,2021-01-04 13:25:48+00:00,"@EngrIbinabo @savndaniel Good reminder these are. If our representatives have decided to delibrately go deaf, we the represented should make them go dumb. @EndSARS will resume &amp; @senate &amp; @nassnigeria will be occupied. 
@DrAhmadLawan @OvieOmoAgege @femigbaja @SERAPNigeria @adeyanjudeji @InibeheEffiong",engribinabo savndaniel good reminder representatives decided delibrately deaf represented dumb endsars resume amp senate amp nassnigeria occupied drahmadlawan ovieomoagege femigbaja serapnigeria adeyanjudeji inibeheeffiong,negative,0.9516350626945496
810,AACSGBV1,2021-01-04 09:22:01+00:00,"@AACSGBV1 @UNFPA @unwomenafrica @UN_Women It's the first working day of 2021... Really grateful to God for keeping us safe through 2020 and all its attendant challenges.COVID19, increased rate of rape/incest ,kidnapping and @endSars . Wishing us a safer 2021",aacsgbv1 unfpa unwomenafrica unwomen working day 2021 grateful god keeping safe 2020 attendant challengescovid19 increased rate rapeincest kidnapping endsars wishing safer 2021,negative,0.7637527585029602
811,T_Y_Bukar,2021-01-04 06:29:52+00:00,We saw how @endsars protest started... make more solid reserve ideas from your philosophy of herdsmen @ProfZulum @KashimSM it is just a view from a brain that lived for two decades...,saw endsars protest started solid reserve ideas philosophy herdsmen profzulum kashimsm view brain lived decades,negative,0.9037866592407227
812,ElemiBest,2021-01-03 13:07:36+00:00,"@iyaboawokoya Madam I respect people's views alot but want to ask you few questions.
Were you aware this guy involved in @endsars peaceful prostest?
Do you think he was unpatriotic to Nigeria by participating in the prostest?
What do you think make @MrFrancisWhyte to pronounce Nigeria evil?",iyaboawokoya madam respect peoples views alot want ask questions aware guy involved endsars peaceful prostest think unpatriotic nigeria participating prostest think mrfranciswhyte pronounce nigeria evil,negative,0.9465174078941345
813,THEHOOD31549752,2021-01-03 10:31:28+00:00,What is happening in this country? Why are we still in slavery in the hands of our rulars and so called army? Is it in our constitution that dreadlocks is a crime? Where is it that our look is a crime? @endsars @HQNigerianArmy @UN cow @MBuhari https://t.co/GQVhv7sXqO,happening country slavery hands rulars called army constitution dreadlocks crime look crime endsars hqnigerianarmy un cow mbuhari,negative,0.9992712140083313
814,AminuSaniRingi1,2021-01-02 22:35:26+00:00,"@daily_trust We were lazy before and now getting stronger after @Endsars protest, All praised be to Allah.",dailytrust lazy getting stronger endsars protest praised allah,negative,0.9862934350967407
815,SibiAmanda,2021-01-02 14:16:55+00:00,"@abneroke @SavvyRinu @MBuhari @EndSars I am so shocked at your constant noise 
You make too much noise",abneroke savvyrinu mbuhari endsars shocked constant noise noise,negative,0.5836620330810547
816,abneroke,2021-01-02 14:15:43+00:00,@SibiAmanda @SavvyRinu @MBuhari @EndSars Piss off with your ignorant and sad reasoning.,sibiamanda savvyrinu mbuhari endsars piss ignorant sad reasoning,negative,0.9187523722648621
817,SibiAmanda,2021-01-02 14:14:40+00:00,"@abneroke @SavvyRinu @MBuhari @EndSars You are trying to be famous
It won't work
I promise
Anyway
Thanks",abneroke savvyrinu mbuhari endsars trying famous wont work promise thanks,positive,0.5257263779640198
818,abneroke,2021-01-02 14:10:53+00:00,@SibiAmanda @SavvyRinu @MBuhari @EndSars Which is the insult ? You insulted yourself by attempting to gag me or control my opinion or what I choose to refer to. Nothing more primitive than that. Stay in your house jor before they pour you hot water in another mans house out of aproko.,sibiamanda savvyrinu mbuhari endsars insult insulted attempting gag control opinion choose refer primitive stay house jor pour hot water mans house aproko,negative,0.9971413016319275
819,SibiAmanda,2021-01-02 14:08:10+00:00,"@abneroke @SavvyRinu @MBuhari @EndSars Continue insulting me for reasons I don't know
I shaa know am in my house
Come and beat me 
Stop talking trash",abneroke savvyrinu mbuhari endsars continue insulting reasons dont know shaa know house come beat stop talking trash,negative,0.9957113265991211
820,abneroke,2021-01-02 14:06:55+00:00,@SibiAmanda @SavvyRinu @MBuhari @EndSars Leave here.....was she not a part of the daft endsars stupidity ? Go dive into the ocean jor. Who gave you the stupid permission to tell people what to say ? Crass talk.,sibiamanda savvyrinu mbuhari endsars leave herewas daft endsars stupidity dive ocean jor gave stupid permission tell people crass talk,negative,0.9900522828102112
821,SibiAmanda,2021-01-02 14:01:18+00:00,"@abneroke @SavvyRinu @MBuhari @EndSars I have said what I said 
Stop referring to people who have no business with what you were discussing
About whether am paid or not 
It's a rather silly question, I don't need to be paid to say what's right",abneroke savvyrinu mbuhari endsars said said stop referring people business discussing paid silly question dont need paid whats right,positive,0.5568534135818481
822,abneroke,2021-01-02 13:57:16+00:00,@SibiAmanda @SavvyRinu @MBuhari @EndSars Since when were you employed to tell people what to tweet about or refer to ? Sit this out quietly by minding your mention.,sibiamanda savvyrinu mbuhari endsars employed tell people tweet refer sit quietly minding mention,positive,0.9871826171875
823,SibiAmanda,2021-01-02 13:13:31+00:00,"@abneroke @SavvyRinu @MBuhari I would love that you be careful with your words 
Please do not involve the @EndSars protesters 
The writer said what she said 
Attack the subject of discussion please.
Thanks",abneroke savvyrinu mbuhari love careful words involve endsars protesters writer said said attack subject discussion thanks,positive,0.9778804779052734
824,bimblez,2021-01-02 02:26:00+00:00,@JoyOchuko3 @gtbank @gtbank_help Check your status with CBN @endsars sponsors😆😆,joyochuko3 gtbank gtbankhelp check status cbn endsars sponsors,positive,0.8647525310516357
825,Fabulou62118666,2021-01-01 22:41:01+00:00,"@E_David_O91 @DeleMomodu @ProfOsinbajo @steve_hanke Truth, youth rose up. The first of it kind in the history of Nigeria @endsars. after the lekki massacre, whole thing went down. No one to talk again, abi who wan die. The same thing during abacha. Let me burst your bubble. Our leaders were part of the protests then against Abacha",edavido91 delemomodu profosinbajo stevehanke truth youth rose kind history nigeria endsars lekki massacre thing went talk abi wan die thing abacha let burst bubble leaders protests abacha,negative,0.7157920598983765
826,IsholaFaith,2021-01-01 22:38:47+00:00,@fesojayesam @YeleSowore No be d same choice wey dem choose lastyear oct. Where them dey now @Endsars Guy wakeup to reality na 2day u know Naija government,fesojayesam yelesowore d choice wey dem choose lastyear oct dey endsars guy wakeup reality na 2day u know naija government,positive,0.9711245894432068
827,news_primestar,2021-01-01 21:36:27+00:00,"Mixed Reactions over Arrest of Sowore as Human Rights Group Pressures for His Release 
#CrossoverWithProtest #OmoyeleSowore #Nigeria @EndSars
https://t.co/XCT6xVAS1B via @stylodee",mixed reactions arrest sowore human rights group pressures release crossoverwithprotest omoyelesowore nigeria endsars stylodee,negative,0.9036819934844971
828,KShabbal,2021-01-01 16:21:54+00:00,"2020 is the year of
@ASUUNNGR 
@NigEducation 
@humanbanditory
@endsars
@kidnapping 
@covid19
And inshallah 2021 will be the year of student and also the year of my graduation.",2020 year asuunngr nigeducation humanbanditory endsars kidnapping covid19 inshallah 2021 year student year graduation,positive,0.6779206395149231
829,izzythoughts010,2021-01-01 07:46:49+00:00,"Look at the police reform fought for last year @Endsars religiously it's wrong, yeah, but constitutionally it's not the best approach...  We should stop putting laws into our hands https://t.co/GJ4XlK8wjg",look police reform fought year endsars religiously wrong yeah constitutionally best approach stop putting laws hands,positive,0.6273083686828613
830,OfficialYaxman,2020-12-31 23:38:11+00:00,"@AishaYesufu Happy New year Fams! Welcome to my special month ! 

Quick Reminder:No matter how much you try to forget the pains don't forget the Lesson you gain @Endsars @AishaYesufu @cuppymusic @davido @burnaboy @wizkidayo  ....",aishayesufu happy new year fams welcome special month quick reminderno matter try forget pains dont forget lesson gain endsars aishayesufu cuppymusic davido burnaboy wizkidayo,positive,0.9838318824768066
831,oladejo_amusat,2020-12-31 20:15:16+00:00,@obyezeks @AishaYesufu May God remember the families of all those who lost the Love ones who die peacefully but not d imaginary @EndSars protesters.,obyezeks aishayesufu god remember families lost love ones die peacefully d imaginary endsars protesters,negative,0.8035999536514282
832,AdewaleTairu,2020-12-31 19:58:56+00:00,"You are indirectly regretting your horrible act during the @Endsars preplanned and well orchestrated destructions of properties in Nigeria which you guys participated in, don't worry you won't escape such criminality. https://t.co/3PpNRbM6hc",indirectly regretting horrible act endsars preplanned orchestrated destructions properties nigeria guys participated dont worry wont escape criminality,negative,0.9961148500442505
833,SimputMusa,2020-12-31 19:16:50+00:00,@drjallo @FRIISTII @Diggypixels @EndSars 🙏🏽🙏🏽🙏🏽,drjallo friistii diggypixels endsars ,negative,0.9361575245857239
834,drjallo,2020-12-31 19:16:11+00:00,"@SimputMusa @FRIISTII @Diggypixels @EndSars Same to you my brother!
🙏🏿🙇🏿‍♂️",simputmusa friistii diggypixels endsars brother ‍,positive,0.9511407613754272
835,SimputMusa,2020-12-31 19:14:02+00:00,"@drjallo @FRIISTII @Diggypixels @EndSars Amin, Amin Big Bro
Compliment of the season 🙏🏽",drjallo friistii diggypixels endsars amin amin big bro compliment season ,positive,0.9294263124465942
836,drjallo,2020-12-31 19:12:05+00:00,@SimputMusa @FRIISTII @Diggypixels @EndSars 2021 Insha allah you will get it.,simputmusa friistii diggypixels endsars 2021 insha allah,positive,0.8507897853851318
837,SimputMusa,2020-12-31 19:10:56+00:00,"@drjallo @FRIISTII @Diggypixels @drjallo nice shots ✊
Less I forget I have a pic with you fa @endsars waka oh 🙏🏽",drjallo friistii diggypixels drjallo nice shots  forget pic fa endsars waka oh ,positive,0.9716202616691589
838,JO_Messenger11,2020-12-31 05:31:22+00:00,@IsaacOba3 @Adetutugeorge @EndSars Was it ever mentioned that #EndSARS was a religious movement? You need to think before you type.,isaacoba3 adetutugeorge endsars mentioned endsars religious movement need think type,positive,0.7358372211456299
839,IsaacOba3,2020-12-31 04:43:18+00:00,@JO_Messenger11 @Adetutugeorge Where is @EndSars in the bible.....Oga way sabi bible,jomessenger11 adetutugeorge endsars bibleoga way sabi bible,positive,0.5491514205932617
840,Cpt_Usha,2020-12-30 22:58:56+00:00,"@ShehuBello @Adetutugeorge @toperants Social Media Olayinja....When APC had political campaigns, you didn't tweet about lives being endangered. 

@Endsars protest, lives were not endangered abi??
You seem to be selectively knowledgeable on this. 

We will gather &amp; nothing  will happen!
Nonsense",shehubello adetutugeorge toperants social media olayinjawhen apc political campaigns didnt tweet lives endangered endsars protest lives endangered abi selectively knowledgeable gather amp happen nonsense,negative,0.9985532164573669
841,Francinexxxxxxx,2020-12-30 21:02:10+00:00,"@Emanuel38550263 @TRJGC @RealCarlVernon @janekin24 @EndSars It’s people like you that keep this hoax going, you need to stop being told how to think and start using your brain and do some research",emanuel38550263 trjgc realcarlvernon janekin24 endsars it’s people like hoax going need stop told think start brain research,positive,0.760756254196167
842,Emanuel38550263,2020-12-30 18:55:45+00:00,"@TRJGC @RealCarlVernon @janekin24 That ""...it's a global pandemic..."" is bullshit. I'm in Nigeria here and nothing is happening. Hospitals are not overcrowded, we are all living our lives as normal. 
The corrupt politician here would not dare to enforce a draconian lockdown after the @endsars debacle.",trjgc realcarlvernon janekin24 global pandemic bullshit im nigeria happening hospitals overcrowded living lives normal corrupt politician dare enforce draconian lockdown endsars debacle,negative,0.9968928098678589
843,WealthMoni,2020-12-30 18:37:33+00:00,@VannieAgnes @TundeEddnut @30Bg @EndSars @contortion @lindaikeji @davido @Unique Nice 👌,vannieagnes tundeeddnut 30bg endsars contortion lindaikeji davido unique nice ,positive,0.9938296675682068
844,OGUpdate1,2020-12-29 18:24:19+00:00,"Plz na only @davido( OBO). And @burnaboy(Giant). they know for music industry every time trouble and fight 😂😂🥴🥴 @laugh @peace @love @problem
@EndSARS",plz na davido obo burnaboygiant know music industry time trouble fight 🥴🥴 laugh peace love problem endsars,negative,0.9148051738739014
845,THEHOOD31549752,2020-12-29 17:58:29+00:00,@BarackObama @allontheline This is MEN talking @BarackObama  not cow @MBuhari killing innocent black citizens @endsars @lekkigate @blacklivesmatters,barackobama allontheline men talking barackobama cow mbuhari killing innocent black citizens endsars lekkigate blacklivesmatters,negative,0.9997072815895081
846,THEHOOD31549752,2020-12-29 17:55:13+00:00,@MobilePunch Na like this you wan use finish all Nigerians in farm with your thugs @MBuhari good for nothing old fool. We are coming for you @endsars punch https://t.co/2UMjZt22CZ,mobilepunch na like wan use finish nigerians farm thugs mbuhari good old fool coming endsars punch,negative,0.979731023311615
847,THEHOOD31549752,2020-12-29 17:49:13+00:00,"@MBuhari papa wey dey force him children to do his cowlish idea. Your brain don expire i swear, do you really know d meaning of this word MUST?  what is this country becoming every minute of the day in the hand of this useless old fool @MBuhari @renoomokri @AishaYesufu @endsars https://t.co/LaYfW1IgCC https://t.co/BL4xDbXHs7",mbuhari papa wey dey force children cowlish idea brain don expire swear know d meaning word country minute day hand useless old fool mbuhari renoomokri aishayesufu endsars,negative,0.9991534948348999
848,Made_in_ND,2020-12-29 15:57:30+00:00,"Personality of the Year is:
@EndSARS https://t.co/2eFhQ0BUnj",personality year endsars,positive,0.5782871246337891
849,RoseSand7,2020-12-28 14:26:16+00:00,@louiedi13 @endsars https://t.co/sb8SksnSjX,louiedi13 endsars,negative,0.8600383996963501
850,iamneme,2020-12-27 18:13:47+00:00,"@festaconline @EKEDP Apparently, it's every part of FESTAC Town that's suffering from the incompetence of @EKEDP. This is appalling to say the least. It's almost as if they enjoy leaving us in darkness.

e be like say we go start @ENDSARS protest on top their matter or comot their teeth just now 🙄",festaconline ekedp apparently festac town thats suffering incompetence ekedp appalling enjoy leaving darkness e like start endsars protest matter comot teeth ,negative,0.9958497285842896
851,Kennyrealkenny1,2020-12-27 11:11:52+00:00,"@falzthebahdguy Oga false the people who did from @endsars are weeping in their graves. Why are you guys suddenly silent, God have mercy",falzthebahdguy oga false people endsars weeping graves guys suddenly silent god mercy,positive,0.5237648487091064
852,Kennyrealkenny1,2020-12-27 11:09:28+00:00,What a world we live in... In less than 3 months @nigerian youths are quiet..those innocent who died for @endsars will never rest in peace untill their death is avenged,world live 3 months nigerian youths quietthose innocent died endsars rest peace untill death avenged,negative,0.9884690642356873
853,THEHOOD31549752,2020-12-27 01:09:34+00:00,"@Pontifex and also fight for peace in Nigeria, we have prayed and God has opened our eyes and gave us wisdom of king Solomon. So it's time we fight the fight of God and bring peace in our land. End bad government of 🐄 @MBuhari kitchen woman @aishambuhari @endsars. GOD WILL RISE https://t.co/Moew0aGmmF",pontifex fight peace nigeria prayed god opened eyes gave wisdom king solomon time fight fight god bring peace land end bad government  mbuhari kitchen woman aishambuhari endsars god rise,positive,0.840117335319519
854,seyi_laleye,2020-12-26 17:12:34+00:00,@THEHOOD31549752 @Ameena_Usman_ @AishaYesufu @MBuhari @aishambuhari @EndSars I hate bots,thehood31549752 ameenausman aishayesufu mbuhari aishambuhari endsars hate bots,negative,0.9987921118736267
855,THEHOOD31549752,2020-12-26 17:01:24+00:00,@badgovernmentofnigeria 🐄 @MBuhari @endsars https://t.co/RNb7agGmee,badgovernmentofnigeria  mbuhari endsars,negative,0.9998236298561096
856,THEHOOD31549752,2020-12-26 16:56:48+00:00,"@Ameena_Usman_ @AishaYesufu 🐄 @MBuhari is so foolish, useless,  disappointment is an understatement when you call tht name 🐄 @MBuhari because his lifeless life is a disgrace to HUMANITY. But I promise you tht 🔥 will soon be unleash on him and his whole family @aishambuhari because GOD WILL RISE @endsars",ameenausman aishayesufu  mbuhari foolish useless disappointment understatement tht  mbuhari lifeless life disgrace humanity promise tht  soon unleash family aishambuhari god rise endsars,negative,0.9946460723876953
857,GospelofBiafra,2020-12-26 10:27:29+00:00,"#EndNigeriaNow 
@realDonaldTrump @netanyahu @PMOIndia @JapanGov @CanadianPM @BrazilGovNews @BorisJohnson_MP @MFA_Austria @KremlinRussia_E @SpainMFA @EmmanuelMacron @EU_Commission @FinGovernment @SwedishPM @govsingapore @ScottMorrisonMP @UKParliament @PressSec @WhiteHouse
@EndSARS https://t.co/Zr0v2q8Bsi",endnigerianow realdonaldtrump netanyahu pmoindia japangov canadianpm brazilgovnews borisjohnsonmp mfaaustria kremlinrussiae spainmfa emmanuelmacron eucommission fingovernment swedishpm govsingapore scottmorrisonmp ukparliament presssec whitehouse endsars,positive,0.9812972545623779
858,sdq_muh198,2020-12-26 09:41:23+00:00,This man they call sanwo olu is a big problem to lagosian @endsars https://t.co/JSLSFJM9QQ,man sanwo olu big problem lagosian endsars,negative,0.9272213578224182
859,OmaMathew,2020-12-26 06:39:16+00:00,"I feel so sorry mr @jidesanwoolu for allowing yourself to be use @endsars killing, because you have just successfully activate generational curse on your entire families, because of toll gate money, @jagaban the wicked we never go unpunished, I pray God should have mercy on u.Ijn https://t.co/iHs0yGKeku",feel sorry mr jidesanwoolu allowing use endsars killing successfully activate generational curse entire families toll gate money jagaban wicked unpunished pray god mercy uijn,negative,0.8558838963508606
860,THEHOOD31549752,2020-12-26 06:35:53+00:00,"@TheNationNews We don't know if it's 🐄 @MBuhari people sending hungry northerners or Boko doing all this. Wow, living in Nigeria is now living in bondage. I see no reason why @endsars won't resume, this fight is NOW",thenationnews dont know  mbuhari people sending hungry northerners boko wow living nigeria living bondage reason endsars wont resume fight,negative,0.9969486594200134
861,GospelofBiafra,2020-12-25 22:25:16+00:00,"#EndNigeriaNow 
@realDonaldTrump @netanyahu @PMOIndia @JapanGov @CanadianPM @BrazilGovNews @BorisJohnson_MP @MFA_Austria @KremlinRussia_E @SpainMFA @EmmanuelMacron @EU_Commission @FinGovernment @SwedishPM @govsingapore @ScottMorrisonMP @UKParliament @PressSec @WhiteHouse
@EndSARS https://t.co/FQxsLwYUKU",endnigerianow realdonaldtrump netanyahu pmoindia japangov canadianpm brazilgovnews borisjohnsonmp mfaaustria kremlinrussiae spainmfa emmanuelmacron eucommission fingovernment swedishpm govsingapore scottmorrisonmp ukparliament presssec whitehouse endsars,positive,0.9812972545623779
862,GospelofBiafra,2020-12-25 21:48:35+00:00,"#EndNigeriaNow 
@realDonaldTrump @netanyahu @PMOIndia @JapanGov @CanadianPM @BrazilGovNews @BorisJohnson_MP @MFA_Austria @KremlinRussia_E @SpainMFA @EmmanuelMacron @EU_Commission @FinGovernment @SwedishPM @govsingapore @ScottMorrisonMP @UKParliament @PressSec @WhiteHouse
@EndSARS https://t.co/AnAG0WTTs3",endnigerianow realdonaldtrump netanyahu pmoindia japangov canadianpm brazilgovnews borisjohnsonmp mfaaustria kremlinrussiae spainmfa emmanuelmacron eucommission fingovernment swedishpm govsingapore scottmorrisonmp ukparliament presssec whitehouse endsars,positive,0.9812972545623779
863,sdq_muh198,2020-12-25 15:21:51+00:00,Impeachment of @buhari is the right thing . He as failed us @endsars https://t.co/E0qfHTRZgm,impeachment buhari right thing failed endsars,negative,0.9440116882324219
864,Silk_Wit_Beauty,2020-12-25 07:46:15+00:00,"@MannasehNwachu2 @EndSars Amen dear. May this season bring to you joy, laughter and happiness. May 2021 be a better year all around. Merry Christmas.",mannasehnwachu2 endsars amen dear season bring joy laughter happiness 2021 better year merry christmas,positive,0.9846718907356262
865,MannasehNwachu2,2020-12-25 07:12:48+00:00,"@Silk_Wit_Beauty Merry Christmas @Silk_Wit_Beauty  may blessings of the baby Jesus be you made 2020, covid 19, lockdowns,@endsars that ended in disaster bearable, more entertaining than all them boring Nollywood drama, may all your wishes come through 2021 amen 🙏",silkwitbeauty merry christmas silkwitbeauty blessings baby jesus 2020 covid 19 lockdownsendsars ended disaster bearable entertaining boring nollywood drama wishes come 2021 amen ,positive,0.7023731470108032
866,GospelofBiafra,2020-12-24 15:06:00+00:00,"#EndNigeriaNow 
@realDonaldTrump @netanyahu @PMOIndia @JapanGov @CanadianPM @BrazilGovNews @BorisJohnson_MP @MFA_Austria @KremlinRussia_E @SpainMFA @EmmanuelMacron @EU_Commission @FinGovernment @SwedishPM @govsingapore @ScottMorrisonMP @UKParliament @PressSec @WhiteHouse
@EndSARS https://t.co/wSTGsud9Vg",endnigerianow realdonaldtrump netanyahu pmoindia japangov canadianpm brazilgovnews borisjohnsonmp mfaaustria kremlinrussiae spainmfa emmanuelmacron eucommission fingovernment swedishpm govsingapore scottmorrisonmp ukparliament presssec whitehouse endsars,positive,0.9812972545623779
867,Chiukwu2,2020-12-24 09:56:18+00:00,@sheyimb @MrOare_k @NGRPresident @NigAirForce @MBuhari @MaziNnamdiKanu Continue to be deceived by government. Despite killing them in the python dance and many other instances you still think they are joking NOW they have armed themselves? A little @EndSars protest made serious mockery of the government. Watch out the events of 2021_End of Nigeria,sheyimb mroarek ngrpresident nigairforce mbuhari mazinnamdikanu continue deceived government despite killing python dance instances think joking armed little endsars protest mockery government watch events 2021end nigeria,negative,0.9996787309646606
